day_of_week_number,day_of_week,observations,actual_mean,predicted_mean,mae,rmse,r2,mape_positive_pct,smape_pct,mean_error_bias
0,Monday,56808,20.083667793268553,20.392627263096514,3.604403268625594,10.695182816304634,0.9666232443611535,46.17229174932726,102.26717072516601,0.30895946982795935
1,Tuesday,56808,21.688318546683565,22.1888879719244,3.72187696714373,11.135404851079954,0.9690742373800283,46.72597057319502,103.29276850889494,0.5005694252408361
2,Wednesday,56808,21.948616392057456,22.521271366296606,3.983532522277135,11.693065780181222,0.9647307873991504,46.41076042068513,101.97568620304553,0.5726549742391513
3,Thursday,50496,22.906487642585553,23.4974862410596,4.686351270514184,13.386530194805514,0.9585659645488704,52.282455247336166,102.35012731741627,0.5909985984740502
4,Friday,50496,23.052360583016476,23.593798044724963,4.277216286070417,11.901509635781453,0.9642743080159415,50.17596894867745,99.69155346732684,0.5414374617084888
5,Saturday,56808,23.882551753274186,24.058161944554055,4.608493168713915,13.277083454861536,0.9564893053052199,48.26948590099761,100.37751869068688,0.17561019127986643
6,Sunday,56808,20.631706801858893,21.209064678237592,4.173429657837308,12.342486348319396,0.9519206288433939,46.381263160653006,99.31716117190332,0.5773578763786965
