demand_level,observations,actual_mean,predicted_mean,mae,rmse,r2,mape_positive_pct,smape_pct,mean_error_bias
Zero (0),141563,0.0,0.5328850414196636,0.5328850414196636,1.0884022795811474,0.0,,200.0,0.5328850414196636
Very Low (1-5),130562,2.1990625143609934,2.3455182701071915,1.287074016656227,2.039178974116397,-1.4681929196393675,65.87599085166399,58.55997603478914,0.1464557557461983
Low (6-20),49078,10.59444150128367,10.65295667041441,3.810782643274136,5.584619573407365,-0.8886485947374743,37.583425377851064,38.13726108350307,0.058515169130738016
Moderate (21-50),20498,32.64947799785345,34.277118125268856,8.463414013021902,12.179075702495032,-1.0034851234235114,26.368008201702636,25.281769481618237,1.6276401274154095
High (51-100),15497,73.5015164225334,78.14542533633168,14.375981888996053,20.53114659734184,-1.0188679372303788,19.91388158927928,18.66868119584548,4.643908913798278
Very High (101+),27834,210.31738161960192,209.44495975391436,27.564224229598913,39.92373712034011,0.856731286276543,13.821756136870848,13.669189690998401,-0.8724218656875533
