hour,observations,actual_mean,predicted_mean,mae,rmse,r2,mape_positive_pct,smape_pct,mean_error_bias
0,16043,16.954185626129775,16.894844289071113,4.350728697901585,14.164631238035886,0.924058528286575,49.664706370519426,114.73957462960719,-0.059341337058660404
1,16043,11.213862743875834,11.366980170021623,3.522587181936185,14.317046370812562,0.8972756806003427,61.04582111894169,128.4946659436971,0.15311742614579082
2,16043,7.2914043508072055,7.485982977112988,2.472434298833297,10.150548184618582,0.9027991306768068,62.904887959344144,138.28023172660906,0.19457862630578165
3,16043,5.111201146917659,5.139616120017654,1.8140967172544336,6.685134797754914,0.9087432267676203,61.748655498681956,138.52376479471022,0.028414973099994547
4,16043,4.2965779467680605,4.361568838062166,1.823902898783133,5.480957815274368,0.8183927784563092,56.865740745659366,121.94384269106189,0.06499089129410571
5,16043,4.4408776413389015,4.751583164413968,1.8844637445112986,4.078727097562754,0.8086848971872536,57.484988581553274,107.37110931767566,0.31070552307506666
6,16043,8.5202268902325,8.679746265452007,2.5018466970353552,5.199802974310542,0.9186169868797869,52.562974645590664,91.49204872810536,0.1595193752195068
7,16043,15.028111949136695,15.428170606521148,3.847973272905013,9.322404693077019,0.9302060292763792,55.480930769514714,86.11265165686713,0.40005865738445084
8,16043,19.710652621080847,20.246207154402274,4.107599685130009,9.68564821904801,0.9577596484653095,50.757962897458796,84.04948931862764,0.5355545333214289
9,16043,21.601383781088327,22.045292230118637,3.740011470485804,8.705428532688517,0.9708963095009302,47.43691761208722,84.97020918253546,0.4439084490303146
10,16043,23.099108645515177,23.49202941982848,3.8378932463604047,9.423157853163445,0.9707941281230169,44.360295634247045,87.51277266900088,0.3929207743133038
11,16043,25.043196409649067,25.214321819912318,3.724240498757726,9.004577015261772,0.9776801893861027,42.830442084552075,88.27956678532784,0.17112541026325345
12,16043,26.923268715327556,27.2006742506364,3.7810037916107846,9.266599293672451,0.979579455024904,41.00866018182481,88.50597964448158,0.27740553530884365
13,16043,28.123231315838684,28.636038541158364,4.106695366241324,10.33424298724053,0.9764803800512463,41.503506877702755,88.60040012932441,0.5128072253196824
14,16043,30.05672255812504,30.3504854476449,4.456354564341179,11.446601566480203,0.9756064826840188,41.77623943722934,88.41324267580988,0.29376288951986185
15,16043,31.894097114006108,32.20252434409547,4.584978676258058,11.928833402905767,0.9770496459320342,42.29889938214775,88.44171441228987,0.30842723008936035
16,16043,32.48775166739388,33.37579636623925,4.74852851111083,12.73985537535146,0.9747000176389756,42.180940599072265,91.65951385443451,0.8880446988453751
17,16043,35.04176276257558,35.52003839767631,5.636313994921449,15.157010228036809,0.9681226430841445,42.382778585572495,92.92010246813493,0.47827563510073384
18,16043,36.315277691204884,37.258990449604305,5.603875685978892,14.778254822232233,0.9718165503951327,43.32703822270238,96.54807421664042,0.943712758399421
19,16043,32.62662843607804,34.238522960782014,5.910955942941129,16.024375286643064,0.9594224443717314,44.335200535337066,102.68946193071156,1.611894524703976
20,16043,30.033659539986285,31.292645776600207,5.711549822396685,16.037746358406874,0.9556697798934852,45.05311261166232,106.28260754225943,1.258986236613919
21,16043,30.62488312659727,30.820230457818976,5.897196552732521,17.161666201171794,0.9541925418859021,44.45458347540318,107.76615743012493,0.19534733122171002
22,16043,28.525899146045003,29.28206108592434,5.831227484658693,16.985915078104632,0.9484727361192818,45.64840502027808,104.87212355554246,0.7561619398793382
23,16043,22.951255999501342,23.755803609150906,5.461243772936227,16.579364230428542,0.9291199335558968,48.9928998462372,103.55139580888883,0.804547609649566
