month,field_count,matches_january_field_set,fields_added_vs_january,fields_missing_vs_january,rows
2025-01,44,True,,,348180
2025-02,44,True,,,255364
2025-03,44,True,,,281221
2025-04,44,True,,,272549
2025-05,44,True,,,295058
2025-06,44,True,,,306442
2025-07,44,True,,,315883
2025-08,44,True,,,304039
2025-09,44,True,,,302684
2025-10,44,True,,,336612
2025-11,44,True,,,304905
2025-12,44,True,,,332103
